2018-03-15 04:25:04,274 [Worker-11] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.kc:Lab1:0.0.1-SNAPSHOT @ E:\Kofel\GitWorkSpace\WebServicesWorkSpace\Lab1\pom.xml.
2018-03-15 04:25:09,460 [Worker-11] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Lab1/src/main/java
2018-03-15 04:25:09,461 [Worker-11] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Lab1/src/main/resources
2018-03-15 04:25:09,462 [Worker-11] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Lab1/src/test/java
2018-03-15 04:25:09,462 [Worker-11] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Lab1/src/test/resources
2018-03-15 04:25:10,735 [Worker-11] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 17 sec
2018-03-15 04:25:11,790 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-15 04:25:11,805 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-15 04:25:11,807 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-15 04:25:11,813 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-15 04:28:54,216 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-15 04:28:54,282 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-15 04:28:54,285 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-15 04:28:54,299 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-15 04:29:00,870 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-15 04:29:00,879 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-15 04:29:00,881 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-15 04:29:00,888 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-15 04:30:23,553 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.kc:Lab2-with-HibernetDAO:0.0.1-SNAPSHOT @ E:\Kofel\GitWorkSpace\WebServicesWorkSpace\Lab2-with-HibernetDAO\pom.xml.
2018-03-15 04:30:25,108 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Lab2-with-HibernetDAO/src/main/java
2018-03-15 04:30:25,108 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Lab2-with-HibernetDAO/src/main/resources
2018-03-15 04:30:25,109 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Lab2-with-HibernetDAO/src/test/java
2018-03-15 04:30:25,109 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Lab2-with-HibernetDAO/src/test/resources
2018-03-15 04:30:25,586 [Worker-5] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 2 sec
2018-03-15 04:30:26,516 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-15 04:30:26,543 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-03-15 04:30:26,558 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-15 04:30:26,566 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-15 04:32:55,322 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.kc:Lab3-RestWS-with-Hibernate-with-SpringXMLBased:0.0.1-SNAPSHOT @ E:\Kofel\GitWorkSpace\WebServicesWorkSpace\Lab3-RestWS-with-Hibernate-with-SpringXMLBased\pom.xml.
2018-03-15 04:32:56,852 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Lab3-RestWS-with-Hibernate-with-SpringXMLBased/src/main/java
2018-03-15 04:32:56,852 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Lab3-RestWS-with-Hibernate-with-SpringXMLBased/src/main/resources
2018-03-15 04:32:56,853 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Lab3-RestWS-with-Hibernate-with-SpringXMLBased/src/test/java
2018-03-15 04:32:56,853 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Lab3-RestWS-with-Hibernate-with-SpringXMLBased/src/test/resources
2018-03-15 04:32:57,383 [Worker-19] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 2 sec
2018-03-15 04:32:58,131 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-15 04:32:58,160 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-15 04:32:58,162 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-15 04:32:58,176 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-15 04:33:17,873 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.kc:Lab4-RestWS-with-Hibernate-with-SpringAnnotationBased:0.0.1-SNAPSHOT @ E:\Kofel\GitWorkSpace\WebServicesWorkSpace\Lab4-RestWS-with-Hibernate-with-SpringAnnotationBased\pom.xml.
